id,nama_daerah_otonom_hasil_pemekaran,ibukota_hasil_pemekaran,uu_pembentukan,tentang,tggl_berlaku_uu,daerah_induk,wilayah_provinsi,luas_wilayah_induk,luas_wilayah_hasil_pemekaran,segmen_batas_daerah_otonom_hasil_pemekaran,jumlah_pddk_daerah_induk,jumlah_pddk_daerah_hasil_pemekaran,jumlah_kecamatan_daerah_otonom_hasil_pemekaran,jumlah_kelurahan_otonom_hasil_pemekaran,jumlah_desa_daerah_otonom_hasil_pemekaran,status_pembentukan,keterangan
1,KABUPATEN BANGKA BARAT,MUNTOK,NO. 5 TAHUN 2003,"Pembentukan Kabupaten Bangka Selatan, Kabupaten Bangka Tengah, Kabupaten Bangka Barat, dan Kabupaten Belitung Timur",25 Februari 2003,KABUPATEN BANGKA,PROVINSI BANGKA BELITUNG,2950.68,2820.61,Kab. Bangka ,317052,197066,6,4,60,INISIATIF DPR-RI,-
2,KABUPATEN BANGKA SELATAN,KOTA TOBOALI,NO. 5 TAHUN 2003,"Pembentukan Kabupaten Bangka Selatan, Kabupaten Bangka Tengah, Kabupaten Bangka Barat, dan Kabupaten Belitung Timur",25 Februari 2003,KABUPATEN BANGKA,PROVINSI BANGKA BELITUNG,2950.68,3607.08,Kab. Bangka Tengah,317052,176658,8,3,50,INISIATIF DPR-RI,-
3,KABUPATEN BANGKA TENGAH,KOBA,NO. 5 TAHUN 2003,"Pembentukan Kabupaten Bangka Selatan, Kabupaten Bangka Tengah, Kabupaten Bangka Barat, dan Kabupaten Belitung Timur",25 Februari 2003,KABUPATEN BANGKA,PROVINSI BANGKA BELITUNG,2950.68,2155.77,"Kab. Bangka Selatan
Kab. Bangka 
Kota Pangkal Pinang",317052,182286,6,7,56,INISIATIF DPR-RI,-
4,KABUPATEN PIDIE JAYA,MEUREUDU,NO. 7 TAHUN 2007,Pembentukan Kabupaten Pidie Jaya di Provinsi Nanggroe Aceh Darussalam,02 Januari 2007,KABUPATEN PIDIE,PROVINSI ACEH,3086.95,1073.6,"Kab. Bireun
Kab. Pidie",440231,160115,8,-,222,INISIATIF DPR-RI,-
5,KOTA LHOKSEUMAWE,-,NO. 2 TAHUN 2001,Pembentukan Kota Lhokseumawe,21 Juni 2001,KABUPATEN ACEH UTARA,PROVINSI ACEH,3236.86,181.06,Kab. Aceh Utara,583350,193395,4,-,68,PENINGKATAN STATUS DARI KOTA ADMINISTRATIF MENJADI KOTA OTONOM,-
6,KOTA LANGSA,-,NO. 3 TAHUN 2001,Pembentukan Kota Langsa,21 Juni 2001,KABUPATEN ACEH TIMUR,PROVINSI ACEH,6286.01,262.41,"Kab. Aceh Timur
Kab. Aceh Tamiang
",429006,186432,5,-,66,PENINGKATAN STATUS DARI KOTA ADMINISTRATIF MENJADI KOTA OTONOM,-
7,KABUPATEN ACEH TAMIANG,KARANG BARU,NO. 4 TAHUN 2002,"Pembentukan Kabupaten Aceh Barat Daya, Kabupaten Gayo Lues, Kabupaten Aceh Jaya, Kabupaten Nagan Raya, dan Kabupaten Aceh Tamiang, Di Provinsi Nanggroe Aceh Darussalam",10 April 2002,KABUPATEN ACEH TIMUR,PROVINSI ACEH,6286.01,1956.72,Kab. Gayo LuesKab. Langkat (Prov. Sumatera Utara)Kab. Aceh TimurKota Langsa,429006,294350,12,0,213,-,-
8,KABUPATEN BENER MERIAH,SIMPANG TIGA REDELONG,NO. 41 TAHUN 2003,Pembentukan Kabupaten Bener Meriah di Provinsi Nanggroe Aceh Darussalam,18 Desember 2003,KABUPATEN ACEH TENGAH,PROVINSI ACEH,4318.39,1454.09,"Kab. Aceh Utara
Kab. Bireun
Kab. Aceh Timur
Kab. Aceh Tengah",213056,159636,10,-,232,-,-
9,KOTA SUBULUSSALAM,-,NO. 8 TAHUN 2007,Pembentukan Kota Subulussalam di Provinsi Nanggroe Aceh Darussalam,02 Januari 2007,KABUPATEN ACEH SINGKIL,PROVINSI ACEH,2185,1391,"Kab. Aceh Selatan
Kab. Aceh Tenggara
Kab. Aceh Singkil
Kab. Dairi (Prov. Sumatera Utara)
Kab. Pakpak Bharat  (Prov.  Sumatera Utara)",126768,85731,5,-,82,INISIATIF DPR-RI,-
10,KABUPATEN ACEH BARAT DAYA,BLANGPIDIE,NO. 4 TAHUN 2002,"Pembentukan Kabupaten Aceh Barat Daya, Kabupaten Gayo Lues, Kabupaten Aceh Jaya, Kabupaten Nagan Raya, dan Kabupaten Aceh Tamiang, Di Provinsi Nanggroe Aceh Darussalam",10 April 2002,KABUPATEN ACEH SELATAN,PROVINSI ACEH,3841.6,1490.6,Kab. Gayo LuesKab. Nagan RayaKab. Aceh Selatan,234761,151474,9,0,152,-,-
11,KABUPATEN ACEH SINGKIL,SINGKIL,NO. 14 TAHUN 1999,Pembentukan Kabupaten Daerah Tingkat II Aceh Singkil,20 April 1999,KABUPATEN ACEH SELATAN,PROVINSI ACEH,3841.6,2185,Kab. Pakpak Bharat  (Prov.  Sumatera Utara)Kab. Tapanuli Tengah  (Prov.  Sumatera Utara)Kab. Aceh Selatan,234761,126768,11,0,116,-,-
12,KABUPATEN SIMEULUE,SINABANG,NO. 48 TAHUN 1999,Pembentukan Kabupaten Bireuen Dan Kabupaten Simeulue,4 Oktober 1999,KABUPATEN ACEH BARAT,PROVINSI ACEH,2927.95,2051.48,Tidak ada batas darat,194712,92977,10,-,138,PENINGKATAN STATUS DARI KABUPATEN ADMINISTRATIF MENJADI KABUPATEN OTONOM,-
13,KABUPATEN BIREUEN,KOTA BIREUEN,NO. 48 TAHUN 1999,Pembentukan Kabupaten Bireuen Dan Kabupaten Simeulue,4 Oktober 1999,KABUPATEN ACEH BARAT,PROVINSI ACEH,2927.95,1901.2,"Kab. Pidie Jaya
Kab. Aceh Utara
Kab. Bener Meriah
Kab. Pidie",194712,438615,17,-,609,-,-
14,KABUPATEN ACEH JAYA,CALANG,NO. 4 TAHUN 2002,"Pembentukan Kabupaten Aceh Barat Daya, Kabupaten Gayo Lues, Kabupaten Aceh Jaya, Kabupaten Nagan Raya, dan Kabupaten Aceh Tamiang, Di Provinsi Nanggroe Aceh Darussalam",10 April 2002,KABUPATEN ACEH BARAT,PROVINSI ACEH,2927.95,3812.99,Kab. Aceh BesarKab. PidieKab. Aceh Barat,194712,90624,9,0,172,-,-
15,KOTA SUNGAI PENUH,-,NO. 25 TAHUN 2008,Pembentukan Kota Sungai Penuh Di Provinsi Jambi,21 Juli 2008,KABUPATEN KERINCI,PROVINSI JAMBI,3355.27,391.5,"Kab. Kerinci
Kab. Pesisir Selatan (Prov. Sumetera Barat)",240361,100934,8,4,65,INISIATIF DPR-RI,-
16,KABUPATEN SUPIORI,SORENDIWERI,NO. 35 TAHUN 2003,Pembentukan Kabupaten Supiori Di Provinsi Papua,18 Desember 2003,KABUPATEN BIAK NUMFOR,PROVINSI PAPUA,2602,678.32,Kab. Biak Numfor,143821,23700,5,-,38,-,-
17,KOTA BANJARBARU,-,NO. 9 TAHUN 1999,Pembentukan Kotamadya Daerah Tingkat II Banjarbaru,20 April 1999,KABUPATEN BANJAR,PROVINSI KALIMANTAN SELATAN,4668,371,Kab. Banjar Kab. Tanah Laut,549170,234748,5,20,0,PENINGKATAN STATUS DARI KOTA ADMINISTRATIF MENJADI KOTA OTONOM,-
18,KABUPATEN TEBO,MUARA TEBO,NO. 54 TAHUN 1999,"Pembentukan Kabupaten Sarolangun, Kabupaten Tebo, Kabupaten Muaro Jambi, dan Kabupaten Tanjung Jabung Timur",04 Oktober 1999,KABUPATEN BUNGO TEBO,PROVINSI JAMBI,4659,6461,"Kab. Indragiri Hulu (Prov. Riau)
Kab. Kuantan Singingi  (Prov. Riau)
Kab. Indragiri Hilir (Prov. Riau)
Kab. Tanjung Jabung Barat
Kab. Merangin
Kab. Sorolangun
Kab. Dhamasraya (Prov. Sumatera Barat)]
Kab. Batanghari
Kab. Bungo",337834,324619,12,5,107,-,"Dengan dibentuknya Kabupaten Tebo berdasarkan UU No. 54 Tahun 1999, Kabupaten Bungo Tebo diubah namanya menjadi Kabupaten Bungo "
19,KABUPATEN MUARO JAMBI,SENGETI,NO. 54 TAHUN 1999,"Pembentukan Kabupaten Sarolangun, Kabupaten Tebo, Kabupaten Muaro Jambi, dan Kabupaten Tanjung Jabung Timur",04 Oktober 1999,KABUPATEN BATANGHARI,PROVINSI JAMBI,5804,5326,"Kota Jambi
Kab. Musi Banyuasin
Kab.  Banyuasin
Kab. Tanjung Jabung Barat
Kab. Tanjung Jabung Timur
Kab. Batanghari",304162,363832,11,5,150,-,-
20,KABUPATEN BONE BOLANGO,SUWAWA,NO. 6 TAHUN 2003,Pembentukan Kabupaten Bone bolango dan Kabupaten Pohuwato di Provinsi Gorontalo,25 Februari 2003,KABUPATEN GORONTALO,PROVINSI GORONTALO,1750.83,1984.31,"Kab. Bolaang Mongondow Utara
Kab. Gorontalo Utara
Kab. Gorontalo
Kota Gorontalo
Kab. Bolaang Mongondow Selatan
Kab. Buol",397206,162970,18,5,160,INISIATIF DPR-RI,-
21,KABUPATEN BOALEMO,KOTA TILAMUTA,NO. 50 TAHUN 1999,Pembentukan Kabupaten Boalemo,4 Oktober 1999,KABUPATEN GORONTALO,PROVINSI GORONTALO,1750.83,1521.88,"Kab. Gorontalo Utara
Kab. Pahuwato
Kab. Gorontalo
",397206,146640,7,-,82,-,-
22,KABUPATEN GORONTALO UTARA,KWANDANG,NO. 11 TAHUN 2007,Pembentukan Kabupaten Gorontalo Utara di Provinsi Gorontalo,2 Januari 2007,KABUPATEN GORONTALO,PROVINSI GORONTALO,1750.83,1676.15,"Kab. Buol
Kab. Bolaang Mongondow Utara
Kab. Pahuwato,
Kab. Boalemo
Kab. Gorontalo,
Kab. Bone Bolango",397206,128599,11,-,123,INISIATIF DPR-RI,-
23,KABUPATEN POHUWATO,MARISA,NO. 6 TAHUN 2003,Pembentukan Kabupaten Bone bolango dan Kabupaten Pohuwato di Provinsi Gorontalo,25 Februari 2003,KABUPATEN BOALEMO,PROVINSI GORONTALO,1521.88,4244.31,"Kab. Buol
Kab Gorontalo Utara
Kab. Parigi Moutong
Kab. Boalemo",146640,145469,13,3,101,-,-
24,KABUPATEN LEBONG,TUBEI,NO. 39 TAHUN 2003,Pembentukan Kabupaten Lebong dan Kabupaten Kepahiang di Provinsi Bengkulu,18 Desember 2003,KABUPATEN REJANG LEBONG,PROVINSI BENGKULU,1639.98,1921.82,"Kab. Merangin (Prov. Jambi)
Kab. Rejang Lebong
Kab. Bengkulu Utara
Kab. Musi Rawas",278865,112900,12,11,93,-,-
25,KABUPATEN KEPAHIANG,KEPAHIANG,NO. 39 TAHUN 2003,Pembentukan Kabupaten Lebong dan Kabupaten Kepahiang di Provinsi Bengkulu,18 Desember 2003,KABUPATEN REJANG LEBONG,PROVINSI BENGKULU,1639.98,665,"Kab. Empat Lawang (Prov. Sumatera Selatan)
Kab. Bengkulu Tengah
Kab. Rejang Lebong",278865,151019,8,12,105,-,-
26,KABUPATEN MUKO MUKO,MUKOMUKO,NO. 3 TAHUN 2003,"Pembentukan Kabupaten Mukomuko, Kabupaten Seluma, dan Kabupaten Kaur di Provinsi Bengkulu",25 Februari 2003,KABUPATEN BENGKULU UTARA,PROVINSI BENGKULU,4324.6,4036.7,"Kab. Kerinci (Prov. Jambi)
Kab. Merangin (Prov. Jambi)
Kab. Bengkulu Utara
Kab. Pesisir Selatan",284505,180951,15,3,148,-,-
27,KABUPATEN BENGKULU TENGAH,KARANG TINGGI,NO. 24 TAHUN 2008,Pembentukan Kabupaten Bengkulu Tengah Di Provinsi Bengkulu,21 Juli 2008,KABUPATEN BENGKULU UTARA,PROVINSI BENGKULU,4324.6,1223.94,"Kota Bengkulu
Kab. Seluma
Kab. Bengkulu Utara
Kab. Kepahiang
Kab. Rejanglebong",284505,113056,11,1,142,INISIATIF DPR-RI,-
28,KABUPATEN SELUMA,TAIS,NO. 3 TAHUN 2003,"Pembentukan Kabupaten Mukomuko, Kabupaten Seluma, dan Kabupaten Kaur di Provinsi Bengkulu",25 Februari 2003,KABUPATEN BENGKULU SELATAN,PROVINSI BENGKULU,1186.1,2400.44,"Kab. Bengkulu Tengah
Kab. Empat Lawang (Prov. Sumatera Selatan)
Kab. Lahat (Prov. Sumatera Selatan)
Kota Bengkulu
Kab. Bengkulu Selatan",167997,211619,40,20,182,-,-
29,KABUPATEN KAUR,BINTUHAN,NO. 3 TAHUN 2003,"Pembentukan Kabupaten Mukomuko, Kabupaten Seluma, dan Kabupaten Kaur di Provinsi Bengkulu",25 Februari 2003,KABUPATEN BENGKULU SELATAN,PROVINSI BENGKULU,1186.1,2369.05,"Kab. Lampung Barat
Kota Pagar Alam
Kab. Muara Enim
Kab. Oku Selatan
Kab. Bengkulu Selatan",167997,129843,15,3,192,-,-
30,KOTA SERANG,-,NO. 32 TAHUN 2007,Pembentukan Kota Serang Di Provinsi Banten,10 Agustus 2007,KABUPATEN SERANG,PROVINSI BANTEN,1734.28,266.71,Kab. Serang,1464291,642586,6,66,-,INISIATIF DPR-RI,-
31,KABUPATEN TANAH BUMBU,BATULICIN,NO. 2 TAHUN 2003,Pembentukan Kabupaten Tanah Bumbu dan Kabupaten Balangan di Provinsi Kalimantan Selatan,25 Maret 2003,KABUPATEN KOTABARU,PROVINSI KALIMANTAN SELATAN,9482.73,5006.96,"Kab. Banjar 
Kab. Tanah Laut 
Kab. Kotabaru 
",322658,318143,10,5,144,-,-
32,KABUPATEN BALANGAN,PARINGIN,NO. 2 TAHUN 2003,Pembentukan Kabupaten Tanah Bumbu dan Kabupaten Balangan di Provinsi Kalimantan Selatan,25 Maret 2003,KABUPATEN HULU SUNGAI UTARA,PROVINSI KALIMANTAN SELATAN,892.7,1878.3,"Kab. Paser Prov. Kalimantan Timur 
Kab. Hulu Sungai Tengah 
Kab. Hulu Sungai Utara 
Kab. Tabalong
Kab. Kotabaru ",228006,129956,8,3,154,-,-
33,KABUPATEN MELAWI,NANGA PINOH,NO. 34 TAHUN 2003,Pembentukan Kabupaten Melawi Dan Kabupaten Sekadau Di Provinsi Kalimantan Barat,18 Desember 2003,KABUPATEN SINTANG,PROVINSI KALIMANTAN BARAT,21638.2,10640.8,"Kab. Lamandau
Kab. Katingan
Kab. Seruyan
Kab. Ketapang
Kab. Sintang
",408841,232536,11,-,169,-,-
34,KOTA SINGKAWANG,-,NO. 12 TAHUN 2001,Pembentukan Kota Singkawang,21 Juni 2001,KABUPATEN BENGKAYANG,PROVINSI KALIMANTAN BARAT,5075.48,504,"Kab. Sambas
Kab. Bengkayang",287121,236395,5,26,-,PENINGKATAN STATUS DARI KOTA ADMINISTRATIF MENJADI KOTA OTONOM,-
35,KABUPATEN SEKADAU,SEKADAU,NO. 34 TAHUN 2003,Pembentukan Kabupaten Melawi Dan Kabupaten Sekadau Di Provinsi Kalimantan Barat,18 Desember 2003,KABUPATEN SANGGAU,PROVINSI KALIMANTAN BARAT,12857.8,5444.2,"Kab. Sintang
Kab. Sanggau
Kab. Ketapang",486129,212202,7,-,87,-,-
36,KABUPATEN BENGKAYANG,KOTA BENGKAYANG,NO. 10 TAHUN 1999,Pembentukan Kabupaten Daerah Tingkat II Bengkayang,20 April 1999,KABUPATEN SAMBAS,PROVINSI KALIMANTAN BARAT,6716.52,5075.48,Kab. MempawahKota Singkawang Kab. Sanggau Kab. Sambas Kab. Landak,635379,287121,17,2,122,-,-
37,KABUPATEN KUBU RAYA,SUNGAI RAYA,NO. 35 TAHUN 2007,Pembentukan Kabupaten Kubu Raya Di Provinsi Kalimantan Barat,10 Agustus 2007,KABUPATEN PONTIANAK,PROVINSI KALIMANTAN BARAT,2797.88,6958.22,"Kab. Kayong Utara 
Kab. Ketapang 
Kab. Mempawah 
Kab. Sanggau 
Kota Pontianak
Kab. Landak",304795,604563,9,-,117,INISIATIF DPR-RI,Perubahan Nama Daerah Induk berdasarkan PP No. 58 Tahun 2014 tentang Perubahan Nama Kabupaten Pontianak menjadi Kabupaten Mempawah di Provinsi Kalimantan Barat
38,KABUPATEN KAYONG UTARA,SUKADANA,NO. 6 TAHUN 2007,Pembentukan Kabupaten Kayong Utara di Provinsi Kalimantan Barat,02 Januari 2007,KABUPATEN KETAPANG,PROVINSI KALIMANTAN BARAT,31240.74,4568.26,"Kab. Kubu Raya 
Kab. Ketapang",581594,125974,6,-,43,INISIATIF DPR-RI,-
39,KOTA BATU,-,NO. 11 TAHUN 2001,Pembentukan Kota Batu,21 Juni 2001,KABUPATEN MALANG,PROVINSI JAWA TIMUR,3530.65,136.74,"Kab. Malang
Kab. Pasuruan",2494625,210523,3,5,19,PENINGKATAN STATUS DARI KOTA ADMINISTRATIF MENJADI KOTA OTONOM,-
40,KOTA TASIKMALAYA,-,NO. 10 TAHUN 2001,Pembentukan Kota Tasikmalaya,21 Juni 2001,KABUPATEN TASIKMALAYA,PROVINSI JAWA BARAT,2551.19,171.61,Kab. Tasikmalaya,1762622,713545,10,69,-,PENINGKATAN STATUS DARI KOTA ADMINISTRATIF MENJADI KOTA OTONOM,-
41,KOTA BANJAR,-,NO. 27 TAHUN 2002,Pembentukan Kota Banjar Di Provinsi Jawa Barat,11 Desember 2002,KABUPATEN CIAMIS,PROVINSI JAWA BARAT,1414.71,113.49,"Kab. Ciamis
",1240285,204100,4,9,16,PENINGKATAN STATUS DARI KOTA ADMINISTRATIF MENJADI KOTA OTONOM,-
42,KABUPATEN PANGANDARAN,PARIGI,NO. 21 TAHUN 2012,Pembentukan Kabupaten Pangandaran di Provinsi Jawa Barat,17 November 2012,KABUPATEN CIAMIS,PROVINSI JAWA BARAT,1414.71,1010,Kab. TasikmalayaKab. Ciamis,1240285,420512,10,0,93,INISIATIF DPR-RI,-
43,KOTA CIMAHI,-,NO. 9 TAHUN 2001, Pembentukan Kota Cimahi,21 Juni 2001,KABUPATEN BANDUNG,PROVINSI JAWA BARAT,1767.96,39.27,"Kab. Bandung
Kota Bandung",3535992,548373,3,15,-,INISIATIF DPR-RI,-
44,KABUPATEN BANDUNG BARAT,NGAMPRAH,NO. 12 TAHUN 2007,Pembentukan Kabupaten Bandung Barat Di Provinsi Jawa Barat,2 Januari 2007,KABUPATEN BANDUNG,PROVINSI JAWA BARAT,1767.96,1305.77,"Kab. Subang
Kab. Cianjur
Kab. Purwakarta
Kota Cimahi
Kab. Bandung
Kota Bandung",3535992,1649811,16,-,165,INISIATIF DPR-RI,-
45,KABUPATEN PENAJAM PASER UTARA,PENAJAM,NO. 7 TAHUN 2002,Pembentukan Kabupaten Penajam Paser Utara Di Provinsi Kalimantan Timur,10 April 2002,KABUPATEN PASIR,PROVINSI KALIMANTAN TIMUR,7730.88,3333.06,Kota BalikpapanKab. Kutai Kartanegara Kab. Paser Kab. Kutai Barat ,259417,170475,4,24,30,-,Perubahan Nama Daerah Induk berdasarkan PP No. 49 Tahun 2007 tentang Perubahan Nama Kabupaten Pasir menjadi Kabupaten Paser Provinsi Kalimantan Timur
46,KABUPATEN MAHAKAM ULU,DESA UJOH BILANG,NO. 2 TAHUN 2013,Pembentukan Kabupaten Mahakam Ulu di Provinsi Kalimantan Timur,11 Januari 2013,KABUPATEN KUTAI BARAT,PROVINSI KALIMANTAN TIMUR,20381.59,15315,"Kab. Kutai Kapuas Hulu Prov. Kalimantan Barat 
Kab. Malinau Prov. Kalimantan Utara 
Kab. Kutai Kartanegara 
Kab. Barito Utara Prov. Kalimantan Tengah 
Kab. Murung Raya Prov. Kalimantan Tengah 
Kab. Kutai Barat ",162200,28833,5,-,50,INISIATIF DPR-RI,-
