No,Kode Provinsi,Nama Provinsi,Kode Kab./Kota,Nama Daerah,Klasifikasi,Kode Induk,Daerah Induk,Tahun Mekar(UU),Tahun DAU
1,11,Aceh,1107,"Aceh Barat, Kab.",Daerah Induk,,,,
2,11,Aceh,1108,"Aceh Besar, Kab.",Tidak Mekar,,,,
3,11,Aceh,1103,"Aceh Selatan, Kab.",Daerah Induk,,,,
4,11,Aceh,1102,"Aceh Singkil, Kab.",Daerah Induk,,,,
5,11,Aceh,1106,"Aceh Tengah, Kab.",Daerah Induk,,,,
6,11,Aceh,1104,"Aceh Tenggara, Kab.",Daerah Induk,,,,
7,11,Aceh,1105,"Aceh Timur, Kab.",Daerah Induk,,,,
8,11,Aceh,1111,"Aceh Utara, Kab.",Daerah Induk,,,,
9,11,Aceh,1110,"Bireuen, Kab.",Tidak Mekar,,,,
10,11,Aceh,1109,"Pidie, Kab.",Daerah Induk,,,,
11,11,Aceh,1101,"Simeulue, Kab.",Tidak Mekar,,,,
12,11,Aceh,1171,"Banda Aceh, Kota",Tidak Mekar,,,,
13,11,Aceh,1172,"Sabang, Kota",Tidak Mekar,,,,
14,11,Aceh,1173,"Langsa, Kota",Daerah Anak,1105.0,"Aceh Timur, Kab.",2001.0,2002.0
15,11,Aceh,1174,"Lhokseumawe, Kota",Daerah Anak,1111.0,"Aceh Utara, Kab.",2001.0,2003.0
16,11,Aceh,1112,"Aceh Barat Daya, Kab.",Daerah Anak,1103.0,"Aceh Selatan, Kab.",2002.0,2003.0
17,11,Aceh,1113,"Gayo Lues, Kab.",Daerah Anak,1104.0,"Aceh Tenggara, Kab.",2002.0,2003.0
18,11,Aceh,1114,"Aceh Tamiang, Kab.",Daerah Anak,1105.0,"Aceh Timur, Kab.",2002.0,2003.0
19,11,Aceh,1115,"Nagan Raya, Kab.",Daerah Anak,1107.0,"Aceh Barat, Kab.",2002.0,2004.0
20,11,Aceh,1116,"Aceh Jaya, Kab.",Daerah Anak,1107.0,"Aceh Barat, Kab.",2002.0,2006.0
21,11,Aceh,1117,"Bener Meriah, Kab.",Daerah Anak,1106.0,"Aceh Tengah, Kab.",2003.0,2005.0
22,11,Aceh,1118,"Pidie Jaya, Kab.",Daerah Anak,1109.0,"Pidie, Kab.",2007.0,2008.0
23,11,Aceh,1175,"Subulussalam, Kota",Daerah Anak,1102.0,"Aceh Singkil, Kab.",2007.0,2008.0
24,12,Sumatera Utara,1208,"Asahan, Kab.",Daerah Induk,,,,
25,12,Sumatera Utara,1210,"Dairi, Kab.",Daerah Induk,,,,
26,12,Sumatera Utara,1212,"Deli Serdang, Kab.",Daerah Induk,,,,
27,12,Sumatera Utara,1207,"Labuhan Batu, Kab.",Daerah Induk,,,,
28,12,Sumatera Utara,1213,"Langkat, Kab.",Tidak Mekar,,,,
29,12,Sumatera Utara,1202,"Mandailing Natal, Kab.",Tidak Mekar,,,,
30,12,Sumatera Utara,1201,"Nias, Kab.",Daerah Induk,,,,
31,12,Sumatera Utara,1209,"Simalungun, Kab.",Tidak Mekar,,,,
32,12,Sumatera Utara,1211,"Tanah Karo, Kab.",Tidak Mekar,,,,
33,12,Sumatera Utara,1203,"Tapanuli Selatan, Kab.",Daerah Induk,,,,
34,12,Sumatera Utara,1204,"Tapanuli Tengah, Kab.",Tidak Mekar,,,,
35,12,Sumatera Utara,1205,"Tapanuli Utara, Kab.",Daerah Induk,,,,
36,12,Sumatera Utara,1206,"Toba Samosir, Kab.",Daerah Induk,,,,
37,12,Sumatera Utara,1276,"Binjai, Kota",Tidak Mekar,,,,
38,12,Sumatera Utara,1275,"Medan, Kota",Tidak Mekar,,,,
39,12,Sumatera Utara,1273,"Pematang Siantar, Kota",Tidak Mekar,,,,
40,12,Sumatera Utara,1271,"Sibolga, Kota",Tidak Mekar,,,,
41,12,Sumatera Utara,1272,"Tanjung Balai, Kota",Tidak Mekar,,,,
42,12,Sumatera Utara,1274,"Tebing Tinggi, Kota",Tidak Mekar,,,,
43,12,Sumatera Utara,1277,"Padang Sidempuan, Kota",Daerah Anak,1203.0,"Tapanuli Selatan, Kab.",2001.0,2002.0
44,12,Sumatera Utara,1216,"Pakpak Bharat, Kab.",Daerah Anak,1210.0,"Dairi, Kab.",2003.0,2004.0
45,12,Sumatera Utara,1214,"Nias Selatan, Kab.",Daerah Anak,1201.0,"Nias, Kab.",2003.0,2005.0
46,12,Sumatera Utara,1215,"Humbang Hasundutan, Kab.",Daerah Anak,1205.0,"Tapanuli Utara, Kab.",2003.0,2004.0
47,12,Sumatera Utara,1218,"Serdang Bedagai, Kab.",Daerah Anak,1212.0,"Deli Serdang, Kab.",2003.0,2005.0
48,12,Sumatera Utara,1217,"Samosir, Kab.",Daerah Anak,1206.0,"Toba Samosir, Kab.",2003.0,2007.0
49,12,Sumatera Utara,1219,"Batu Bara, Kab.",Daerah Anak,1208.0,"Asahan, Kab.",2007.0,2008.0
50,12,Sumatera Utara,1220,"Padang Lawas Utara, Kab.",Daerah Anak,1203.0,"Tapanuli Selatan, Kab.",2007.0,2009.0
51,12,Sumatera Utara,1221,"Padang Lawas, Kab.",Daerah Anak,1203.0,"Tapanuli Selatan, Kab.",2007.0,2009.0
52,12,Sumatera Utara,1222,"Labuhan Batu Selatan, Kab.",Daerah Anak,1207.0,"Labuhan Batu, Kab.",2008.0,2009.0
53,12,Sumatera Utara,1223,"Labuhan Batu Utara, Kab.",Daerah Anak,1207.0,"Labuhan Batu, Kab.",2008.0,2009.0
54,12,Sumatera Utara,1224,"Nias Utara, Kab.",Daerah Anak,1201.0,"Nias, Kab.",2008.0,2010.0
55,12,Sumatera Utara,1225,"Nias Barat, Kab.",Daerah Anak,1201.0,"Nias, Kab.",2008.0,2010.0
56,12,Sumatera Utara,1278,"Gunung Sitoli, Kota",Daerah Anak,1201.0,"Nias, Kab.",2008.0,2010.0
57,13,Sumatera Barat,1307,"Agam, Kab.",Tidak Mekar,,,,
58,13,Sumatera Barat,1308,"Limapuluh Kota, Kab.",Tidak Mekar,,,,
59,13,Sumatera Barat,1306,"Padang Pariaman, Kab.",Daerah Induk,,,,
60,13,Sumatera Barat,1309,"Pasaman, Kab.",Daerah Induk,,,,
61,13,Sumatera Barat,1302,"Pesisir Selatan, Kab.",Tidak Mekar,,,,
62,13,Sumatera Barat,1304,"Sawahlunto Sijunjung, Kab.",Daerah Induk,,,,
63,13,Sumatera Barat,1303,"Solok, Kab.",Tidak Mekar,,,,
64,13,Sumatera Barat,1305,"Tanah Datar, Kab.",Tidak Mekar,,,,
65,13,Sumatera Barat,1301,"Kepulauan Mentawai, Kab.",Tidak Mekar,,,,
66,13,Sumatera Barat,1375,"Bukittinggi, Kota",Tidak Mekar,,,,
67,13,Sumatera Barat,1371,"Padang, Kota",Tidak Mekar,,,,
68,13,Sumatera Barat,1374,"Padang Panjang, Kota",Tidak Mekar,,,,
69,13,Sumatera Barat,1376,"Payakumbuh, Kota",Tidak Mekar,,,,
70,13,Sumatera Barat,1373,"Sawahlunto, Kota",Tidak Mekar,,,,
71,13,Sumatera Barat,1372,"Solok, Kota",Daerah Induk,,,,
72,13,Sumatera Barat,1377,"Pariaman, Kota",Daerah Anak,1306.0,"Padang Pariaman, Kab.",2002.0,2003.0
73,13,Sumatera Barat,1312,"Pasaman Barat, Kab.",Daerah Anak,1309.0,"Pasaman, Kab.",2003.0,2004.0
74,13,Sumatera Barat,1311,"Dharmas Raya, Kab.",Daerah Anak,1304.0,"Sawahlunto Sijunjung, Kab.",2003.0,2006.0
75,13,Sumatera Barat,1310,"Solok Selatan, Kab.",Daerah Anak,1372.0,"Solok, Kota",2003.0,2006.0
