bps_code,bps_name,province,province_code,admin_type,code_vintage,notes
1101,Simeulue,ACEH,11,Kabupaten,current,Split from Aceh Barat 1999
1102,Aceh Singkil,ACEH,11,Kabupaten,current,
1103,Aceh Selatan,ACEH,11,Kabupaten,current,
1104,Aceh Tenggara,ACEH,11,Kabupaten,current,
1105,Aceh Timur,ACEH,11,Kabupaten,current,
1106,Aceh Tengah,ACEH,11,Kabupaten,current,
1107,Aceh Barat,ACEH,11,Kabupaten,current,
1108,Aceh Besar,ACEH,11,Kabupaten,current,
1109,Pidie,ACEH,11,Kabupaten,current,
1110,Bireuen,ACEH,11,Kabupaten,current,
1111,Aceh Utara,ACEH,11,Kabupaten,current,
1112,Aceh Barat Daya,ACEH,11,Kabupaten,current,Created 2002
1113,Gayo Lues,ACEH,11,Kabupaten,current,Created 2002
1114,Aceh Tamiang,ACEH,11,Kabupaten,current,Created 2002
1115,Nagan Raya,ACEH,11,Kabupaten,current,Created 2002
1116,Aceh Jaya,ACEH,11,Kabupaten,current,Created 2002
1117,Bener Meriah,ACEH,11,Kabupaten,current,Created 2003 (not in panel)
1118,Pidie Jaya,ACEH,11,Kabupaten,current,Created 2007 (not in panel)
1171,Banda Aceh,ACEH,11,Kota,current,
1172,Sabang,ACEH,11,Kota,current,
1173,Langsa,ACEH,11,Kota,current,Created 2001
1174,Lhokseumawe,ACEH,11,Kota,current,Created 2001
1175,Subulussalam,ACEH,11,Kota,current,Created 2007 (not in panel)
1201,Tapanuli Tengah,SUMATERA UTARA,12,Kabupaten,current,
1202,Tapanuli Utara,SUMATERA UTARA,12,Kabupaten,current,
1203,Tapanuli Selatan,SUMATERA UTARA,12,Kabupaten,current,
1204,Nias,SUMATERA UTARA,12,Kabupaten,current,
1205,Langkat,SUMATERA UTARA,12,Kabupaten,current,
1206,Karo,SUMATERA UTARA,12,Kabupaten,current,
1207,Deli Serdang,SUMATERA UTARA,12,Kabupaten,current,
1208,Simalungun,SUMATERA UTARA,12,Kabupaten,current,
1209,Asahan,SUMATERA UTARA,12,Kabupaten,current,
1210,Labuhanbatu,SUMATERA UTARA,12,Kabupaten,current,BPS spells Labuhanbatu; panel has LABUHAN BATU
1211,Dairi,SUMATERA UTARA,12,Kabupaten,current,
1212,Toba Samosir,SUMATERA UTARA,12,Kabupaten,current,Created 1999
1213,Mandailing Natal,SUMATERA UTARA,12,Kabupaten,current,Created 1998/1999
1271,Sibolga,SUMATERA UTARA,12,Kota,current,
1272,Tanjungbalai,SUMATERA UTARA,12,Kota,current,BPS spells Tanjungbalai; panel TANJUNG BALAI
1273,Pematangsiantar,SUMATERA UTARA,12,Kota,current,BPS Pematangsiantar; panel PEMATANG SIANTAR
1274,Tebing Tinggi,SUMATERA UTARA,12,Kota,current,
1275,Medan,SUMATERA UTARA,12,Kota,current,
1276,Binjai,SUMATERA UTARA,12,Kota,current,
1277,Padangsidimpuan,SUMATERA UTARA,12,Kota,current,BPS Padangsidimpuan; panel PADANG SIDEMPUAN; created 2001
1301,Kepulauan Mentawai,SUMATERA BARAT,13,Kabupaten,current,Created 1999
1302,Pesisir Selatan,SUMATERA BARAT,13,Kabupaten,current,
1303,Solok,SUMATERA BARAT,13,Kabupaten,current,
1304,Sijunjung,SUMATERA BARAT,13,Kabupaten,current,2000 name SAWAHLUNTO/SIJUNJUNG; renamed Sijunjung 2008
1305,Tanah Datar,SUMATERA BARAT,13,Kabupaten,current,
1306,Padang Pariaman,SUMATERA BARAT,13,Kabupaten,current,
1307,Agam,SUMATERA BARAT,13,Kabupaten,current,
1308,Lima Puluh Kota,SUMATERA BARAT,13,Kabupaten,current,
1309,Pasaman,SUMATERA BARAT,13,Kabupaten,current,
1310,Solok Selatan,SUMATERA BARAT,13,Kabupaten,current,Created 2003 (not in panel)
1311,Dharmasraya,SUMATERA BARAT,13,Kabupaten,current,BPS Dharmasraya; panel DHARMAS RAYA; created 2003
1312,Pasaman Barat,SUMATERA BARAT,13,Kabupaten,current,Created 2003 (not in panel)
1371,Padang,SUMATERA BARAT,13,Kota,current,
1372,Solok,SUMATERA BARAT,13,Kota,current,
1373,Sawahlunto,SUMATERA BARAT,13,Kota,current,panel SAWAH LUNTO
1374,Padang Panjang,SUMATERA BARAT,13,Kota,current,
1375,Bukittinggi,SUMATERA BARAT,13,Kota,current,
1376,Payakumbuh,SUMATERA BARAT,13,Kota,current,
1377,Pariaman,SUMATERA BARAT,13,Kota,current,Created 2002
1401,Kuantan Singingi,RIAU,14,Kabupaten,current,Created 1999
1402,Indragiri Hulu,RIAU,14,Kabupaten,current,
1403,Indragiri Hilir,RIAU,14,Kabupaten,current,
1404,Pelalawan,RIAU,14,Kabupaten,current,Created 1999
1405,Siak,RIAU,14,Kabupaten,current,Created 1999
1406,Kampar,RIAU,14,Kabupaten,current,
1407,Rokan Hulu,RIAU,14,Kabupaten,current,Created 1999
1408,Bengkalis,RIAU,14,Kabupaten,current,
1409,Rokan Hilir,RIAU,14,Kabupaten,current,Created 1999
1410,Kepulauan Meranti,RIAU,14,Kabupaten,current,Created 2009 (not in panel)
1471,Pekanbaru,RIAU,14,Kota,current,panel PEKAN BARU
1473,Dumai,RIAU,14,Kota,current,
1501,Kerinci,JAMBI,15,Kabupaten,current,
1502,Merangin,JAMBI,15,Kabupaten,current,2000 name SAROLANGUN BANGKO (split into Merangin+Sarolangun 1999)
1503,Sarolangun,JAMBI,15,Kabupaten,current,Created 1999 from Sarolangun Bangko
1504,Batang Hari,JAMBI,15,Kabupaten,current,BPS Batanghari; panel BATANG HARI
1505,Muaro Jambi,JAMBI,15,Kabupaten,current,Created 1999
1506,Tanjung Jabung Timur,JAMBI,15,Kabupaten,current,Created 1999 from Tanjung Jabung
1507,Tanjung Jabung Barat,JAMBI,15,Kabupaten,current,2000 name TANJUNG JABUNG (renamed/split 1999)
1508,Tebo,JAMBI,15,Kabupaten,current,Created 1999 from Bungo Tebo
1509,Bungo,JAMBI,15,Kabupaten,current,2000 name BUNGO TEBO (split into Bungo+Tebo 1999)
1571,Jambi,JAMBI,15,Kota,current,
1572,Sungai Penuh,JAMBI,15,Kota,current,Created 2008 (not in panel)
1601,Ogan Komering Ulu,SUMATERA SELATAN,16,Kabupaten,current,
1602,Ogan Komering Ilir,SUMATERA SELATAN,16,Kabupaten,current,
1603,Muara Enim,SUMATERA SELATAN,16,Kabupaten,current,
1604,Lahat,SUMATERA SELATAN,16,Kabupaten,current,
1605,Musi Rawas,SUMATERA SELATAN,16,Kabupaten,current,
1606,Musi Banyuasin,SUMATERA SELATAN,16,Kabupaten,current,
1607,Banyuasin,SUMATERA SELATAN,16,Kabupaten,current,Created 2002
1608,Ogan Komering Ulu Selatan,SUMATERA SELATAN,16,Kabupaten,current,Created 2003 (not in panel)
1609,Ogan Komering Ulu Timur,SUMATERA SELATAN,16,Kabupaten,current,Created 2003 (not in panel)
1610,Ogan Ilir,SUMATERA SELATAN,16,Kabupaten,current,Created 2003 (not in panel)
1611,Empat Lawang,SUMATERA SELATAN,16,Kabupaten,current,Created 2007 (not in panel)
1671,Palembang,SUMATERA SELATAN,16,Kota,current,
1672,Prabumulih,SUMATERA SELATAN,16,Kota,current,Created 2001
1673,Pagar Alam,SUMATERA SELATAN,16,Kota,current,Created 2001
1674,Lubuklinggau,SUMATERA SELATAN,16,Kota,current,BPS Lubuklinggau; panel LUBUK LINGGAU; created 2001
1701,Bengkulu Selatan,BENGKULU,17,Kabupaten,current,
1702,Rejang Lebong,BENGKULU,17,Kabupaten,current,
1703,Bengkulu Utara,BENGKULU,17,Kabupaten,current,
1704,Kaur,BENGKULU,17,Kabupaten,current,Created 2003
1705,Seluma,BENGKULU,17,Kabupaten,current,Created 2003
1706,Mukomuko,BENGKULU,17,Kabupaten,current,Created 2003
1707,Lebong,BENGKULU,17,Kabupaten,current,Created 2003 (not in panel)
1708,Kepahiang,BENGKULU,17,Kabupaten,current,Created 2003 (not in panel)
1709,Bengkulu Tengah,BENGKULU,17,Kabupaten,current,Created 2008 (not in panel)
1771,Bengkulu,BENGKULU,17,Kota,current,
1801,Lampung Selatan,LAMPUNG,18,Kabupaten,current,
1802,Lampung Tengah,LAMPUNG,18,Kabupaten,current,
1803,Lampung Utara,LAMPUNG,18,Kabupaten,current,
1804,Lampung Barat,LAMPUNG,18,Kabupaten,current,
1805,Tulang Bawang,LAMPUNG,18,Kabupaten,current,
1806,Tanggamus,LAMPUNG,18,Kabupaten,current,
1807,Lampung Timur,LAMPUNG,18,Kabupaten,current,Created 1999
1808,Way Kanan,LAMPUNG,18,Kabupaten,current,Created 1999
1809,Pesawaran,LAMPUNG,18,Kabupaten,current,Created 2007 (not in panel)
1810,Pringsewu,LAMPUNG,18,Kabupaten,current,Created 2008 (not in panel)
1811,Mesuji,LAMPUNG,18,Kabupaten,current,Created 2008 (not in panel)
1812,Tulang Bawang Barat,LAMPUNG,18,Kabupaten,current,Created 2008 (not in panel)
1871,Bandar Lampung,LAMPUNG,18,Kota,current,
1872,Metro,LAMPUNG,18,Kota,current,Created 1999
1901,Bangka,KEPULAUAN BANGKA BELITUNG,19,Kabupaten,current,Under Sumsel (16xx) before 2000
1902,Belitung,KEPULAUAN BANGKA BELITUNG,19,Kabupaten,current,Under Sumsel before 2000
1903,Bangka Barat,KEPULAUAN BANGKA BELITUNG,19,Kabupaten,current,Created 2003
1904,Bangka Tengah,KEPULAUAN BANGKA BELITUNG,19,Kabupaten,current,Created 2003
1905,Bangka Selatan,KEPULAUAN BANGKA BELITUNG,19,Kabupaten,current,Created 2003
1906,Belitung Timur,KEPULAUAN BANGKA BELITUNG,19,Kabupaten,current,Created 2003
1971,Pangkalpinang,KEPULAUAN BANGKA BELITUNG,19,Kota,current,BPS Pangkalpinang; panel PANGKAL PINANG
2101,Karimun,KEPULAUAN RIAU,21,Kabupaten,current,Under Riau (14xx) before 2004
2102,Bintan,KEPULAUAN RIAU,21,Kabupaten,current,Under Riau before 2004; was KEPULAUAN RIAU kab
2103,Natuna,KEPULAUAN RIAU,21,Kabupaten,current,Under Riau before 2004
2104,Lingga,KEPULAUAN RIAU,21,Kabupaten,current,Created 2003 (not in panel)
2105,Kepulauan Anambas,KEPULAUAN RIAU,21,Kabupaten,current,Created 2008 (not in panel)
2171,Batam,KEPULAUAN RIAU,21,Kota,current,Under Riau before 2004
2172,Tanjungpinang,KEPULAUAN RIAU,21,Kota,current,BPS Tanjungpinang; panel TANJUNG PINANG
3101,Kepulauan Seribu,DKI JAKARTA,31,Kabupaten,current,Administrative kabupaten created 2001
3171,Jakarta Selatan,DKI JAKARTA,31,Kota,current,Administrative kota
3172,Jakarta Timur,DKI JAKARTA,31,Kota,current,Administrative kota
3173,Jakarta Pusat,DKI JAKARTA,31,Kota,current,Administrative kota
3174,Jakarta Barat,DKI JAKARTA,31,Kota,current,Administrative kota
3175,Jakarta Utara,DKI JAKARTA,31,Kota,current,Administrative kota
3201,Bogor,JAWA BARAT,32,Kabupaten,current,
3202,Sukabumi,JAWA BARAT,32,Kabupaten,current,
3203,Cianjur,JAWA BARAT,32,Kabupaten,current,
3204,Bandung,JAWA BARAT,32,Kabupaten,current,
3205,Garut,JAWA BARAT,32,Kabupaten,current,
3206,Tasikmalaya,JAWA BARAT,32,Kabupaten,current,
3207,Ciamis,JAWA BARAT,32,Kabupaten,current,
3208,Kuningan,JAWA BARAT,32,Kabupaten,current,
3209,Cirebon,JAWA BARAT,32,Kabupaten,current,
