district_id,district_num,province_canonical,district_name_2000,admin_type,bps_code,multi_province_flag,notes
ACEH_ACEH_BARAT,1,ACEH,ACEH BARAT,,1107,False,
ACEH_ACEH_BARAT_DAYA,2,ACEH,ACEH BARAT DAYA,,1112,False,
ACEH_ACEH_BESAR,3,ACEH,ACEH BESAR,,1108,False,
ACEH_ACEH_JAYA,4,ACEH,ACEH JAYA,,1116,False,
ACEH_ACEH_SELATAN,5,ACEH,ACEH SELATAN,,1103,False,
ACEH_ACEH_SINGKIL,6,ACEH,ACEH SINGKIL,,1102,False,
ACEH_ACEH_TAMIANG,7,ACEH,ACEH TAMIANG,,1114,False,
ACEH_ACEH_TENGAH,8,ACEH,ACEH TENGAH,,1106,False,
ACEH_ACEH_TENGGARA,9,ACEH,ACEH TENGGARA,,1104,False,
ACEH_ACEH_TIMUR,10,ACEH,ACEH TIMUR,,1105,False,
ACEH_ACEH_UTARA,11,ACEH,ACEH UTARA,,1111,False,
ACEH_BANDA_ACEH,12,ACEH,BANDA ACEH,,1171,False,
ACEH_BIREUEN,13,ACEH,BIREUEN,,1110,False,
ACEH_GAYO_LUES,14,ACEH,GAYO LUES,,1113,False,
ACEH_LANGSA,15,ACEH,LANGSA,,1173,False,
ACEH_NAGAN_RAYA,16,ACEH,NAGAN RAYA,,1115,False,
ACEH_PIDIE,18,ACEH,PIDIE,,1109,False,
ACEH_SABANG,19,ACEH,SABANG,,1172,False,
ACEH_SIMEULUE,20,ACEH,SIMEULUE,,1101,False,
BALI_BADUNG,21,BALI,BADUNG,,5103,False,
BALI_BANGLI,22,BALI,BANGLI,,5106,False,
BALI_BULELENG,23,BALI,BULELENG,,5108,False,
BALI_DENPASAR,24,BALI,DENPASAR,,5171,False,
BALI_GIANYAR,25,BALI,GIANYAR,,5104,False,
BALI_JEMBRANA,26,BALI,JEMBRANA,,5101,False,
BALI_KARANGASEM,28,BALI,KARANGASEM,,5107,False,
BALI_KLUNGKUNG,29,BALI,KLUNGKUNG,,5105,False,
BALI_TABANAN,30,BALI,TABANAN,,5102,False,
BANTEN_CILEGON,31,BANTEN,CILEGON,,3672,False,
BANTEN_LEBAK,32,BANTEN,LEBAK,,3602,True,appears under >1 province historically (pre/post province split); province_canonical verified against bps_code_reference.csv province-code prefix on 2026-09-17
BANTEN_PANDEGLANG,33,BANTEN,PANDEGLANG,,3601,True,appears under >1 province historically (pre/post province split); province_canonical verified against bps_code_reference.csv province-code prefix on 2026-09-17
BANTEN_SERANG_KAB,34,BANTEN,SERANG,kabupaten,3604,True,appears under >1 province historically (pre/post province split); province_canonical verified against bps_code_reference.csv province-code prefix on 2026-09-17
BANTEN_SERANG_KOTA,35,BANTEN,SERANG,kota,3673,True,appears under >1 province historically (pre/post province split); province_canonical verified against bps_code_reference.csv province-code prefix on 2026-09-17
BANTEN_TANGERANG_KAB,36,BANTEN,TANGERANG,kabupaten,3603,True,appears under >1 province historically (pre/post province split); province_canonical verified against bps_code_reference.csv province-code prefix on 2026-09-17
BANTEN_TANGERANG_KOTA,37,BANTEN,TANGERANG,kota,3671,True,appears under >1 province historically (pre/post province split); province_canonical verified against bps_code_reference.csv province-code prefix on 2026-09-17
BENGKULU_BENGKULU,38,BENGKULU,BENGKULU,,1771,False,
BENGKULU_BENGKULU_SELATAN,39,BENGKULU,BENGKULU SELATAN,,1701,False,
BENGKULU_BENGKULU_UTARA,40,BENGKULU,BENGKULU UTARA,,1703,False,
BENGKULU_KAUR,41,BENGKULU,KAUR,,1704,False,
BENGKULU_MUKOMUKO,42,BENGKULU,MUKOMUKO,,1706,False,name variant collapsed — add to name_corrections.csv
BENGKULU_REJANG_LEBONG,43,BENGKULU,REJANG LEBONG,,1702,False,
BENGKULU_SELUMA,44,BENGKULU,SELUMA,,1705,False,
DI_YOGYAKARTA_BANTUL,45,DI YOGYAKARTA,BANTUL,,3402,False,
DI_YOGYAKARTA_GUNUNG_KIDUL,46,DI YOGYAKARTA,GUNUNG KIDUL,,3403,False,
DI_YOGYAKARTA_KULON_PROGO,47,DI YOGYAKARTA,KULON PROGO,,3401,False,
DI_YOGYAKARTA_SLEMAN,48,DI YOGYAKARTA,SLEMAN,,3404,False,
DI_YOGYAKARTA_YOGYAKARTA,49,DI YOGYAKARTA,YOGYAKARTA,,3471,False,
DKI_JAKARTA_JAKARTA_BARAT,51,DKI JAKARTA,JAKARTA BARAT,,3174,False,
DKI_JAKARTA_JAKARTA_PUSAT,52,DKI JAKARTA,JAKARTA PUSAT,,3173,False,
DKI_JAKARTA_JAKARTA_SELATAN,53,DKI JAKARTA,JAKARTA SELATAN,,3171,False,
DKI_JAKARTA_JAKARTA_TIMUR,54,DKI JAKARTA,JAKARTA TIMUR,,3172,False,
DKI_JAKARTA_JAKARTA_UTARA,55,DKI JAKARTA,JAKARTA UTARA,,3175,False,
DKI_JAKARTA_KEPULAUAN_SERIBU,56,DKI JAKARTA,KEPULAUAN SERIBU,,3101,False,
GORONTALO_BOALEMO,57,GORONTALO,BOALEMO,,7501,False,
GORONTALO_BONE_BOLANGO,58,GORONTALO,BONE BOLANGO,,7504,False,
GORONTALO_GORONTALO_KAB,59,GORONTALO,GORONTALO,kabupaten,7502,True,appears under >1 province historically (pre/post province split); province_canonical verified against bps_code_reference.csv province-code prefix on 2026-09-17
GORONTALO_GORONTALO_KOTA,60,GORONTALO,GORONTALO,kota,7571,True,appears under >1 province historically (pre/post province split); province_canonical verified against bps_code_reference.csv province-code prefix on 2026-09-17
GORONTALO_POHUWATO,61,GORONTALO,POHUWATO,,7503,False,
JAMBI_BATANG_HARI,62,JAMBI,BATANG HARI,,1504,False,
JAMBI_BUNGO,64,JAMBI,BUNGO,,1509,False,
JAMBI_BUNGO_TEBO,65,JAMBI,BUNGO TEBO,,1509,False,"pre-split parent; Bungo retained 1509, Tebo got 1508"
JAMBI_JAMBI,66,JAMBI,JAMBI,,1571,False,
JAMBI_KERINCI,67,JAMBI,KERINCI,,1501,False,
JAMBI_MERANGIN,68,JAMBI,MERANGIN,,1502,False,
JAMBI_MUARO_JAMBI,69,JAMBI,MUARO JAMBI,,1505,False,
JAMBI_SAROLANGUN,71,JAMBI,SAROLANGUN,,1503,False,
JAMBI_SAROLANGUN_BANGKO,72,JAMBI,SAROLANGUN BANGKO,,1502,False,"pre-split parent; Merangin retained 1502, Sarolangun got 1503"
JAMBI_TANJUNG_JABUNG,73,JAMBI,TANJUNG JABUNG,,1507,False,"pre-split parent; Tanjung Jabung Barat retained 1507, Timur got 1506"
JAMBI_TANJUNG_JABUNG_BARAT,74,JAMBI,TANJUNG JABUNG BARAT,,1507,False,
JAMBI_TANJUNG_JABUNG_TIMUR,75,JAMBI,TANJUNG JABUNG TIMUR,,1506,False,
JAMBI_TEBO,76,JAMBI,TEBO,,1508,False,
JAWA_BARAT_BANDUNG_KAB,77,JAWA BARAT,BANDUNG,kabupaten,3204,False,
JAWA_BARAT_BANDUNG_KOTA,78,JAWA BARAT,BANDUNG,kota,3273,False,
JAWA_BARAT_BEKASI_KAB,79,JAWA BARAT,BEKASI,kabupaten,3216,False,
JAWA_BARAT_BEKASI_KOTA,80,JAWA BARAT,BEKASI,kota,3275,False,
JAWA_BARAT_BOGOR_KAB,81,JAWA BARAT,BOGOR,kabupaten,3201,False,
JAWA_BARAT_BOGOR_KOTA,82,JAWA BARAT,BOGOR,kota,3271,False,
JAWA_BARAT_CIAMIS,83,JAWA BARAT,CIAMIS,,3207,False,
JAWA_BARAT_CIANJUR,84,JAWA BARAT,CIANJUR,,3203,False,
JAWA_BARAT_CIMAHI,85,JAWA BARAT,CIMAHI,,3277,False,
JAWA_BARAT_CIREBON_KAB,86,JAWA BARAT,CIREBON,kabupaten,3209,False,
JAWA_BARAT_CIREBON_KOTA,87,JAWA BARAT,CIREBON,kota,3274,False,
JAWA_BARAT_DEPOK,88,JAWA BARAT,DEPOK,,3276,False,
JAWA_BARAT_GARUT,89,JAWA BARAT,GARUT,,3205,False,
JAWA_BARAT_INDRAMAYU,90,JAWA BARAT,INDRAMAYU,,3212,False,
JAWA_BARAT_KARAWANG,91,JAWA BARAT,KARAWANG,,3215,False,
JAWA_BARAT_KUNINGAN,92,JAWA BARAT,KUNINGAN,,3208,False,
JAWA_BARAT_MAJALENGKA,93,JAWA BARAT,MAJALENGKA,,3210,False,
JAWA_BARAT_PURWAKARTA,94,JAWA BARAT,PURWAKARTA,,3214,False,
JAWA_BARAT_SUBANG,95,JAWA BARAT,SUBANG,,3213,False,
JAWA_BARAT_SUKABUMI_KAB,96,JAWA BARAT,SUKABUMI,kabupaten,3202,False,
JAWA_BARAT_SUKABUMI_KOTA,97,JAWA BARAT,SUKABUMI,kota,3272,False,
JAWA_BARAT_SUMEDANG,98,JAWA BARAT,SUMEDANG,,3211,False,
JAWA_BARAT_TASIKMALAYA_KAB,99,JAWA BARAT,TASIKMALAYA,kabupaten,3206,False,
JAWA_BARAT_TASIKMALAYA_KOTA,100,JAWA BARAT,TASIKMALAYA,kota,3278,False,
JAWA_TENGAH_BANJARNEGARA,101,JAWA TENGAH,BANJARNEGARA,,3304,False,
JAWA_TENGAH_BANYUMAS,102,JAWA TENGAH,BANYUMAS,,3302,False,
JAWA_TENGAH_BATANG,103,JAWA TENGAH,BATANG,,3325,False,
JAWA_TENGAH_BLORA,104,JAWA TENGAH,BLORA,,3316,False,
JAWA_TENGAH_BOYOLALI,105,JAWA TENGAH,BOYOLALI,,3309,False,
JAWA_TENGAH_BREBES,106,JAWA TENGAH,BREBES,,3329,False,
JAWA_TENGAH_CILACAP,107,JAWA TENGAH,CILACAP,,3301,False,
JAWA_TENGAH_DEMAK,108,JAWA TENGAH,DEMAK,,3321,False,
JAWA_TENGAH_GROBOGAN,109,JAWA TENGAH,GROBOGAN,,3315,False,
JAWA_TENGAH_JEPARA,110,JAWA TENGAH,JEPARA,,3320,False,
JAWA_TENGAH_KARANGANYAR,111,JAWA TENGAH,KARANGANYAR,,3313,False,
