region_name_base_raw,region_name_base_corrected,correction_type,source_files,notes
PARE-PARE,PAREPARE,spelling_variant,PDRB_1996-1999_long.csv,Kota Parepare — hyphenated variant; deduplication in build_district_reference.py kept PAREPARE as more frequent form
PIDIE JAYA#) -.,PIDIE JAYA,ocr_artifact,PDRB_2003_2007_long.csv,Trailing OCR garbage from #) footnote marker
PASAMAN BARAT#) -,PASAMAN BARAT,ocr_artifact,PDRB_2003_2007_long.csv,Trailing OCR garbage from #) footnote marker
BATU BARA#) - .,BATU BARA,ocr_artifact,PDRB_2003_2007_long.csv,Trailing OCR garbage from #) footnote marker
EMPAT LAWANG#) - - .,EMPAT LAWANG,ocr_artifact,PDRB_2003_2007_long.csv,Trailing OCR garbage from #) footnote marker
MAMBERAMO RAYA#) - - .,MAMBERAMO RAYA,ocr_artifact,PDRB_2003_2007_long.csv,Trailing OCR garbage from #) footnote marker
PALOPO#),PALOPO,ocr_artifact,PDRB_2003_2007_long.csv,Trailing OCR garbage from #) footnote marker
BENGKALIS1),BENGKALIS,ocr_artifact,PDRB_2003_2007_long.csv,Footnote superscript 1) contaminating name
MUSI BANYUASIN1),MUSI BANYUASIN,ocr_artifact,PDRB_2003_2007_long.csv,Footnote superscript 1) contaminating name
INDRAMAYU1),INDRAMAYU,ocr_artifact,PDRB_2003_2007_long.csv,Footnote superscript 1) contaminating name
KAB.INDRAMAYU,INDRAMAYU,formatting,,KAB. prefix fused to name without space
KAB.INDRAGIRI HILIR,INDRAGIRI HILIR,formatting,,KAB. prefix fused to name without space
KAB.INDRAGIRI HULU,INDRAGIRI HULU,formatting,,KAB. prefix fused to name without space
KAB.INTAN JAYA,INTAN JAYA,formatting,,KAB. prefix fused to name without space
MUKO-MUKO,MUKOMUKO,spelling_variant,PDRB_2000-2003_long.csv|PDRB_capita_2000-2003_long.csv,Hyphenated variant; MUKOMUKO is canonical BPS form
TOLI TOLI,TOLI-TOLI,spelling_variant,PDRB_2000-2003_long.csv,Space variant from 2000-2003 file; TOLI-TOLI is canonical
BAU-BAU,BAUBAU,spelling_variant,PDRB_2000-2003_long.csv|PDRB_capita_2000-2003_long.csv,Hyphenated variant; BAUBAU is canonical BPS form
BIREUN,BIREUEN,spelling_variant,PDRB_2003_2007_long.csv|PDRB_2008-2012_long.csv|PDRB_2013_2017_long.csv|PDRB_2018-2022_long.csv|PDRB_capita_2003-2007_long.csv|PDRB_capita_2008_2012_long.csv|PDRB_capita_2013-2017_long.csv|PDRB_capita_2018_2022_long.csv,OCR/typo variant; BIREUEN is canonical
LHOK SEUMAWE,LHOKSEUMAWE,spelling_variant,PDRB_2000-2003_long.csv|PDRB_capita_2000-2003_long.csv,Space is OCR artifact; LHOKSEUMAWE is canonical
SUBUSSALAM,SUBULUSSALAM,spelling_variant,PDRB_2003_2007_long.csv|PDRB_capita_2003-2007_long.csv,OCR error; SUBULUSSALAM is canonical
GUNUNG SITOLI,GUNUNGSITOLI,spelling_variant,PDRB_2008-2012_long.csv|PDRB_capita_2008_2012_long.csv,Space variant from 2008-2012 file; GUNUNGSITOLI is canonical
KEP. SIAU TAGOLANDANG BIARO,KEP. SIAU TAGULANDANG BIARO,spelling_variant,PDRB_2003_2007_long.csv|PDRB_capita_2003-2007_long.csv,TAGOLANDANG is OCR error; TAGULANDANG is canonical
SIAU TAGULANDANG BIARO,KEP. SIAU TAGULANDANG BIARO,spelling_variant,PDRB_2013_2017_long.csv|PDRB_2018-2022_long.csv|PDRB_capita_2013-2017_long.csv|PDRB_capita_2018_2022_long.csv,2013+ publications drop KEP. prefix; restored to match concordance child_base
KARANG ASEM,KARANGASEM,spelling_variant,PDRB_2003_2007_long.csv|PDRB_2008-2012_long.csv,Space variant; KARANGASEM is canonical (used in 1996-1999 and 2013-2022 publications and in all capita files)
LIMA PULUH KOTO,LIMA PULUH KOTA,spelling_variant,PDRB_1996-1999_long.csv|PDRB_2000-2003_long.csv|PDRB_2003_2007_long.csv|PDRB_2008-2012_long.csv|PDRB_capita_2000-2003_long.csv|PDRB_capita_2003-2007_long.csv|PDRB_capita_2008_2012_long.csv,KOTO is local dialect variant; KOTA is the official BPS name (used in 2013+ publications)
OGAN KOMERING HILIR,OGAN KOMERING ILIR,spelling_variant,PDRB_1996-1999_long.csv,HILIR variant appears only in 1996-1999 total; all other publications use ILIR
PALANGKARAYA,PALANGKA RAYA,spelling_variant,PDRB_1996-1999_long.csv|PDRB_2000-2003_long.csv|PDRB_capita_1996-1999_long.csv|PDRB_capita_2000-2003_long.csv,No-space variant in 1996-2003 publications; PALANGKA RAYA is canonical BPS form
KOTA BARU,KOTABARU,spelling_variant,PDRB_2008-2012_long.csv|PDRB_2013_2017_long.csv|PDRB_2018-2022_long.csv|PDRB_capita_2008_2012_long.csv|PDRB_capita_2013-2017_long.csv|PDRB_capita_2018_2022_long.csv,DEAD in current pipeline — "Kota Baru" extracts admin_type=kota first leaving base=BARU; see BARU entry below
BARU,KOTABARU,spelling_variant,PDRB_1996-1999.csv|PDRB_2000-2001.csv|PDRB_2002-2004.csv|PDRB_2005-2007.csv|PDRB_2008-2010.csv|PDRB_2011-2013.csv|PDRB_2014-2016.csv|PDRB_2017-2019.csv|PDRB_2020-2022.csv|PDRB_2021-2023.csv|PDRB-capita_1996-1999.csv|PDRB-capita_2000-2001.csv|PDRB-capita_2002-2004.csv|PDRB-capita_2005-2007.csv|PDRB-capita_2008-2010.csv|PDRB-capita_2011-2013.csv|PDRB-capita_2014-2016.csv|PDRB-capita_2017-2019.csv|PDRB-capita_2020-2022.csv|PDRB-capita_2021-2023.csv,Kabupaten Kotabaru (Kalimantan Selatan): both "Kota Baru" and "Kab. Kota Baru" strip admin_type prefixes leaving base=BARU; only BARU entry fires in practice
ACEH TAINIANG,ACEH TAMIANG,ocr_garble,"PDRB_2000-2001.csv,PDRB-capita_2000-2001.csv",
ACEH ]AYA,ACEH JAYA,ocr_garble,"PDRB_2005-2007.csv,PDRB-capita_2005-2007.csv",Leading ] garbled J
BANG LI,BANGLI,ocr_garble,"PDRB_2005-2007.csv,PDRB-capita_2005-2007.csv",
IQUNGKUNG,KLUNGKUNG,ocr_garble,"PDRB_2005-2007.csv,PDRB-capita_2005-2007.csv",
MUKO-HUKO,MUKOMUKO,ocr_garble,"PDRB_2005-2007.csv,PDRB-capita_2005-2007.csv",Corrects directly to canonical MUKOMUKO
BANTU!,BANTUL,ocr_garble,"PDRB_2005-2007.csv,PDRB-capita_2005-2007.csv",
KEPULAUAN SENBU,KEPULAUAN SERIBU,ocr_garble,"PDRB_2005-2007.csv,PDRB-capita_2005-2007.csv",
