Provinces Name,"Provinces Code","Series Name","Series Code","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
"Bali, Prop.","ID.BA","Total GDP excluding Oil and Gas (in IDR Million), Constant Price","NA.GDP.EXC.OG.KR","..","..","..","..","..","..","..","5024698.078075","5471955.987491","6248663.644921","7864718.411215","9260103.790361","9219544.386647","9364916.966278","10087062.651302","11317674.099097","12105400.567079","13129989.21733","14092762.783064","15197129.130746","16414025.289537","17353913.875117","16699526.545481","16795152.997158","17268228.46","17879875.31","18423860.69","19080895.84","19963243.81","21072444.79","22184679.28","23497047.07","24900571.98","26228275.39","27756113.77","30757775.39","..","..","..","..","..","..","..","..",".."
"Bali, Prop.","ID.BA","Total GDP excluding Oil and Gas (in IDR Million), Current Price","NA.GDP.EXC.OG.CR","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","17268228.46","20190206.38","23856437.95","26167941.92","28986595.66","33946467.53","37388484.9","42336424.4","49922604.45","57579254.27","64567004.85","74029156.25","..","..","..","..","..","..","..","..",".."
"Bali, Prop.","ID.BA","Total GDP including Oil and Gas (in IDR Million), Constant Price","NA.GDP.INC.OG.KR","2838631.070552","3331935.766868","3463758.256069","3756205.905741","3576954.770742","3786517.868183","4307760.665114","5024698.078075","5471955.987491","6248663.644921","7864718.411215","9260103.790361","9219544.386647","9364916.966278","10087062.651302","11317674.099097","12105400.567079","13129989.21733","14092762.783064","15197129.130746","16414025.289537","17353913.875117","16699526.545481","16795152.997158","17268228.46","17879875.31","18423860.69","19080895.84","19963243.81","21072444.79","22184679.28","23497047.07","24900571.98","26228275.39","27756113.77","30757776.28","32804381.36","..","..","..","..","..","..","..",".."
"Bali, Prop.","ID.BA","Total GDP including Oil and Gas (in IDR Million), Current Price","NA.GDP.INC.OG.CR","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","17268228.46","20190206.38","23856437.95","26167941.92","28986595.66","33946467.53","37388484.9","42336424.4","49922604.45","57579254.27","64567004.85","74029157.55","83939294.21","..","..","..","..","..","..","..",".."
"Bali, Prop.","ID.BA","Total GDP including Oil and Gas (in IDR Million), SNA 2008, Constant Price","NA.GDP.INC.OG.SNA08.KR","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","93749349.73734","99991631.92861","106951464.95377","114103580.75418","121787574.71887","129126562.21024","137286328.14311","144964204.08826","154072662.62","162694325",".."
"Bali, Prop.","ID.BA","Total GDP including Oil and Gas (in IDR Million), SNA 2008, Current Price","NA.GDP.INC.OG.SNA08.CR","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","93749349.73734","104612189.30578","117987403.30334","134407529.19131","156395732.16442","176412667.65933","194617982.87969","215360919.21289","233636772.68","252138879.51",".."
"Bali, Prop.","ID.BA","Total Population (in number of people)","SP.POP.TOTL","..","..","..","..","..","..","..","2556429","2586330","2616780","2647798","2679397","2711588","2744388","2782600","2807500","2832000","2856000","2879500","2895649","2924400","2902900","2966900","2987000","3111402","3197107.89153548","3273502.85046814","3448936.74047487","3513249.61051473","3578538.16696733","3619133.00005908","3687680.89530002","3756057.34042178","3823774.69252168","3907423","3957563","4007236","4056343","4104890","4152833","4200069","4246528","4292154","4336923","4380824"
"Banten, Prop.","ID.BT","Total GDP excluding Oil and Gas (in IDR Million), Constant Price","NA.GDP.EXC.OG.KR","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","45690559.04","47495383.36","49449321.34","51957457.73","54880406.5","58106948.22","61341658.64","65046775.77","68802910.3","72031120.61","76307357.69","94206710.94","..","..","..","..","..","..","..","..",".."
"Banten, Prop.","ID.BT","Total GDP excluding Oil and Gas (in IDR Million), Current Price","NA.GDP.EXC.OG.CR","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","45690559.04","52643097.41","60612554.33","66575296.75","73713784.4","84622803.32","97867273.39","107499652.42","122490654.25","133048007.12","148976218.93","192227500","..","..","..","..","..","..","..","..",".."
"Banten, Prop.","ID.BT","Total GDP including Oil and Gas (in IDR Million), Constant Price","NA.GDP.INC.OG.KR","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","45690559.04","47495383.36","49449321.34","51957457.73","54880406.5","58106948.22","61341658.64","65046775.77","68802910.3","72031120.61","76307357.69","94206710.58","99999845.87","..","..","..","..","..","..","..",".."
