province_name,regency_code,region_name_raw,name_flag,year,year_flag,value,value_flag,table_header_raw,table_header_english,page_number,table_number,raw_text_hash
JAWA TIMUR,01,Pacitan,,1996,,"804.690,77",,"PDRB PER KAPITA ATAS DASAR HARGA BERLAKU DI PROPINSI JAWA TIMUR MENURUT KABUPATEN/KOTA, 1996 - 1999 (RUPIAH)/","Per Capita GRDP at Current Price By Regencies/Municipalities, in East Java, 1996 - 1999 (Rupiahs)",2,1,b610229d2604
JAWA TIMUR,02,Ponorogo,,1996,,"944.464,45",,"PDRB PER KAPITA ATAS DASAR HARGA BERLAKU DI PROPINSI JAWA TIMUR MENURUT KABUPATEN/KOTA, 1996 - 1999 (RUPIAH)/","Per Capita GRDP at Current Price By Regencies/Municipalities, in East Java, 1996 - 1999 (Rupiahs)",2,1,bd0cfbacedd0
JAWA TIMUR,03,Trenggalek,,1996,,"830.918,98",,"PDRB PER KAPITA ATAS DASAR HARGA BERLAKU DI PROPINSI JAWA TIMUR MENURUT KABUPATEN/KOTA, 1996 - 1999 (RUPIAH)/","Per Capita GRDP at Current Price By Regencies/Municipalities, in East Java, 1996 - 1999 (Rupiahs)",2,1,5e97d1100783
JAWA TIMUR,04,Tulungagung,,1996,,"1.414.685,04",,"PDRB PER KAPITA ATAS DASAR HARGA BERLAKU DI PROPINSI JAWA TIMUR MENURUT KABUPATEN/KOTA, 1996 - 1999 (RUPIAH)/","Per Capita GRDP at Current Price By Regencies/Municipalities, in East Java, 1996 - 1999 (Rupiahs)",2,1,6aef6b04f6c4
JAWA TIMUR,05,Blitar,,1996,,"1.144.176,35",,"PDRB PER KAPITA ATAS DASAR HARGA BERLAKU DI PROPINSI JAWA TIMUR MENURUT KABUPATEN/KOTA, 1996 - 1999 (RUPIAH)/","Per Capita GRDP at Current Price By Regencies/Municipalities, in East Java, 1996 - 1999 (Rupiahs)",2,1,1cca5e22dc11
JAWA TIMUR,06,Kediri,,1996,,"1.134.130,54",,"PDRB PER KAPITA ATAS DASAR HARGA BERLAKU DI PROPINSI JAWA TIMUR MENURUT KABUPATEN/KOTA, 1996 - 1999 (RUPIAH)/","Per Capita GRDP at Current Price By Regencies/Municipalities, in East Java, 1996 - 1999 (Rupiahs)",2,1,d55461435e4f
JAWA TIMUR,07,Malang,,1996,,"1.355.473,48",,"PDRB PER KAPITA ATAS DASAR HARGA BERLAKU DI PROPINSI JAWA TIMUR MENURUT KABUPATEN/KOTA, 1996 - 1999 (RUPIAH)/","Per Capita GRDP at Current Price By Regencies/Municipalities, in East Java, 1996 - 1999 (Rupiahs)",2,1,3cba614b2644
JAWA TIMUR,08,Lumajang,,1996,,"1.285.165,79",,"PDRB PER KAPITA ATAS DASAR HARGA BERLAKU DI PROPINSI JAWA TIMUR MENURUT KABUPATEN/KOTA, 1996 - 1999 (RUPIAH)/","Per Capita GRDP at Current Price By Regencies/Municipalities, in East Java, 1996 - 1999 (Rupiahs)",2,1,0059d1d7ecb6
JAWA TIMUR,09,Jember,,1996,,"1.208.539,82",,"PDRB PER KAPITA ATAS DASAR HARGA BERLAKU DI PROPINSI JAWA TIMUR MENURUT KABUPATEN/KOTA, 1996 - 1999 (RUPIAH)/","Per Capita GRDP at Current Price By Regencies/Municipalities, in East Java, 1996 - 1999 (Rupiahs)",2,1,823798e4e401
JAWA TIMUR,10,Banyuwangi,,1996,,"1.285.684,56",,"PDRB PER KAPITA ATAS DASAR HARGA BERLAKU DI PROPINSI JAWA TIMUR MENURUT KABUPATEN/KOTA, 1996 - 1999 (RUPIAH)/","Per Capita GRDP at Current Price By Regencies/Municipalities, in East Java, 1996 - 1999 (Rupiahs)",2,1,164d942f2732
JAWA TIMUR,11,Bondowoso,,1996,,"975.721,42",,"PDRB PER KAPITA ATAS DASAR HARGA BERLAKU DI PROPINSI JAWA TIMUR MENURUT KABUPATEN/KOTA, 1996 - 1999 (RUPIAH)/","Per Capita GRDP at Current Price By Regencies/Municipalities, in East Java, 1996 - 1999 (Rupiahs)",2,1,61c8fbad8a58
JAWA TIMUR,12,Situbondo,,1996,,"1.658.115,52",,"PDRB PER KAPITA ATAS DASAR HARGA BERLAKU DI PROPINSI JAWA TIMUR MENURUT KABUPATEN/KOTA, 1996 - 1999 (RUPIAH)/","Per Capita GRDP at Current Price By Regencies/Municipalities, in East Java, 1996 - 1999 (Rupiahs)",2,1,b24aeef1dee2
JAWA TIMUR,13,Probolinggo,,1996,,"1.590.216,15",,"PDRB PER KAPITA ATAS DASAR HARGA BERLAKU DI PROPINSI JAWA TIMUR MENURUT KABUPATEN/KOTA, 1996 - 1999 (RUPIAH)/","Per Capita GRDP at Current Price By Regencies/Municipalities, in East Java, 1996 - 1999 (Rupiahs)",2,1,a0c3d1781fb9
JAWA TIMUR,14,Pasuruan,,1996,,"1.458.852,82",,"PDRB PER KAPITA ATAS DASAR HARGA BERLAKU DI PROPINSI JAWA TIMUR MENURUT KABUPATEN/KOTA, 1996 - 1999 (RUPIAH)/","Per Capita GRDP at Current Price By Regencies/Municipalities, in East Java, 1996 - 1999 (Rupiahs)",2,1,4e572345b8b4
JAWA TIMUR,15,Sidoarjo,,1996,,"3.561.503,08",,"PDRB PER KAPITA ATAS DASAR HARGA BERLAKU DI PROPINSI JAWA TIMUR MENURUT KABUPATEN/KOTA, 1996 - 1999 (RUPIAH)/","Per Capita GRDP at Current Price By Regencies/Municipalities, in East Java, 1996 - 1999 (Rupiahs)",2,1,fd6d8414d49e
JAWA TIMUR,16,Mojokerto,,1996,,"1.774.143,90",,"PDRB PER KAPITA ATAS DASAR HARGA BERLAKU DI PROPINSI JAWA TIMUR MENURUT KABUPATEN/KOTA, 1996 - 1999 (RUPIAH)/","Per Capita GRDP at Current Price By Regencies/Municipalities, in East Java, 1996 - 1999 (Rupiahs)",2,1,7abd8332a9e4
JAWA TIMUR,17,Jombang,,1996,,"1.343.836,84",,"PDRB PER KAPITA ATAS DASAR HARGA BERLAKU DI PROPINSI JAWA TIMUR MENURUT KABUPATEN/KOTA, 1996 - 1999 (RUPIAH)/","Per Capita GRDP at Current Price By Regencies/Municipalities, in East Java, 1996 - 1999 (Rupiahs)",2,1,21abeb3be331
JAWA TIMUR,18,Nganjuk,,1996,,"1.327.237,59",,"PDRB PER KAPITA ATAS DASAR HARGA BERLAKU DI PROPINSI JAWA TIMUR MENURUT KABUPATEN/KOTA, 1996 - 1999 (RUPIAH)/","Per Capita GRDP at Current Price By Regencies/Municipalities, in East Java, 1996 - 1999 (Rupiahs)",2,1,c1a48c9fb7f8
JAWA TIMUR,19,Madiun,,1996,,"1.077.815,30",,"PDRB PER KAPITA ATAS DASAR HARGA BERLAKU DI PROPINSI JAWA TIMUR MENURUT KABUPATEN/KOTA, 1996 - 1999 (RUPIAH)/","Per Capita GRDP at Current Price By Regencies/Municipalities, in East Java, 1996 - 1999 (Rupiahs)",2,1,18a131b671ad
JAWA TIMUR,20,Magetan,,1996,,"1.181.411,00",,"PDRB PER KAPITA ATAS DASAR HARGA BERLAKU DI PROPINSI JAWA TIMUR MENURUT KABUPATEN/KOTA, 1996 - 1999 (RUPIAH)/","Per Capita GRDP at Current Price By Regencies/Municipalities, in East Java, 1996 - 1999 (Rupiahs)",2,1,fbff793dc24a
JAWA TIMUR,21,Ngawi,,1996,,"1.062.249,11",,"PDRB PER KAPITA ATAS DASAR HARGA BERLAKU DI PROPINSI JAWA TIMUR MENURUT KABUPATEN/KOTA, 1996 - 1999 (RUPIAH)/","Per Capita GRDP at Current Price By Regencies/Municipalities, in East Java, 1996 - 1999 (Rupiahs)",2,1,668770eaaafc
JAWA TIMUR,22,Bojonegoro,,1996,,"1.010.124,20",,"PDRB PER KAPITA ATAS DASAR HARGA BERLAKU DI PROPINSI JAWA TIMUR MENURUT KABUPATEN/KOTA, 1996 - 1999 (RUPIAH)/","Per Capita GRDP at Current Price By Regencies/Municipalities, in East Java, 1996 - 1999 (Rupiahs)",2,1,1ef1099bc157
JAWA TIMUR,23,Tuban,,1996,,"1.298.512,87",,"PDRB PER KAPITA ATAS DASAR HARGA BERLAKU DI PROPINSI JAWA TIMUR MENURUT KABUPATEN/KOTA, 1996 - 1999 (RUPIAH)/","Per Capita GRDP at Current Price By Regencies/Municipalities, in East Java, 1996 - 1999 (Rupiahs)",2,1,f781ce0a0460
JAWA TIMUR,24,Lamongan,,1996,,"1.112.375,15",,"PDRB PER KAPITA ATAS DASAR HARGA BERLAKU DI PROPINSI JAWA TIMUR MENURUT KABUPATEN/KOTA, 1996 - 1999 (RUPIAH)/","Per Capita GRDP at Current Price By Regencies/Municipalities, in East Java, 1996 - 1999 (Rupiahs)",2,1,5e50520de26d
JAWA TIMUR,25,Gresik,,1996,,"4.494.704,49",,"PDRB PER KAPITA ATAS DASAR HARGA BERLAKU DI PROPINSI JAWA TIMUR MENURUT KABUPATEN/KOTA, 1996 - 1999 (RUPIAH)/","Per Capita GRDP at Current Price By Regencies/Municipalities, in East Java, 1996 - 1999 (Rupiahs)",2,1,8e789b21bdc2
JAWA TIMUR,26,Bangkalan,,1996,,"1.143.515,12",,"PDRB PER KAPITA ATAS DASAR HARGA BERLAKU DI PROPINSI JAWA TIMUR MENURUT KABUPATEN/KOTA, 1996 - 1999 (RUPIAH)/","Per Capita GRDP at Current Price By Regencies/Municipalities, in East Java, 1996 - 1999 (Rupiahs)",2,1,4b4d49108e27
JAWA TIMUR,27,Sampang,,1996,,"912.407,37",,"PDRB PER KAPITA ATAS DASAR HARGA BERLAKU DI PROPINSI JAWA TIMUR MENURUT KABUPATEN/KOTA, 1996 - 1999 (RUPIAH)/","Per Capita GRDP at Current Price By Regencies/Municipalities, in East Java, 1996 - 1999 (Rupiahs)",2,1,841eac8d5cf3
