province_name,regency_code,region_name_raw,name_flag,year,year_flag,value,value_flag,table_header_raw,table_header_english,page_number,table_number,raw_text_hash
JAWA BARAT,01,Bogor,,1998,,"12.089.265,26",,"PDRB PROPINSI JAWA BARAT ATAS DASAR HARGA BERLAKU , MENURUT KABUPATEN/KOTA, 1998-2001 (JUTAAN RUPIAH)","GRDP the Province of West Java at Current Prices By Regencies/Municipalities, 1998-2001 (Million Rupiahs)",1,1,b11c6a8afacc
JAWA BARAT,76,Depok,*),1998,,,,"PDRB PROPINSI JAWA BARAT ATAS DASAR HARGA BERLAKU , MENURUT KABUPATEN/KOTA, 1998-2001 (JUTAAN RUPIAH)","GRDP the Province of West Java at Current Prices By Regencies/Municipalities, 1998-2001 (Million Rupiahs)",1,1,d3ece2b56a85
JAWA BARAT,02,Sukabumi,,1998,,"4.443.770,89",,"PDRB PROPINSI JAWA BARAT ATAS DASAR HARGA BERLAKU , MENURUT KABUPATEN/KOTA, 1998-2001 (JUTAAN RUPIAH)","GRDP the Province of West Java at Current Prices By Regencies/Municipalities, 1998-2001 (Million Rupiahs)",1,1,7721350d7a44
JAWA BARAT,03,Cianjur,,1998,,"4.422.367,86",,"PDRB PROPINSI JAWA BARAT ATAS DASAR HARGA BERLAKU , MENURUT KABUPATEN/KOTA, 1998-2001 (JUTAAN RUPIAH)","GRDP the Province of West Java at Current Prices By Regencies/Municipalities, 1998-2001 (Million Rupiahs)",1,1,d4ac291fcccb
JAWA BARAT,04,Bandung,,1998,,"14.948.996,26",,"PDRB PROPINSI JAWA BARAT ATAS DASAR HARGA BERLAKU , MENURUT KABUPATEN/KOTA, 1998-2001 (JUTAAN RUPIAH)","GRDP the Province of West Java at Current Prices By Regencies/Municipalities, 1998-2001 (Million Rupiahs)",1,1,2b5822bca7c8
JAWA BARAT,05,Garut,,1998,,"4.780.245,79",,"PDRB PROPINSI JAWA BARAT ATAS DASAR HARGA BERLAKU , MENURUT KABUPATEN/KOTA, 1998-2001 (JUTAAN RUPIAH)","GRDP the Province of West Java at Current Prices By Regencies/Municipalities, 1998-2001 (Million Rupiahs)",1,1,bba6fc841e72
JAWA BARAT,06,Tasikmalaya,,1998,,"4.258.078,76",,"PDRB PROPINSI JAWA BARAT ATAS DASAR HARGA BERLAKU , MENURUT KABUPATEN/KOTA, 1998-2001 (JUTAAN RUPIAH)","GRDP the Province of West Java at Current Prices By Regencies/Municipalities, 1998-2001 (Million Rupiahs)",1,1,fe1847c1d13f
JAWA BARAT,07,Ciamis,,1998,,"4.582.744,18",,"PDRB PROPINSI JAWA BARAT ATAS DASAR HARGA BERLAKU , MENURUT KABUPATEN/KOTA, 1998-2001 (JUTAAN RUPIAH)","GRDP the Province of West Java at Current Prices By Regencies/Municipalities, 1998-2001 (Million Rupiahs)",1,1,97cca2a7e4dd
JAWA BARAT,08,Kuningan,,1998,,"1.641.523,23",,"PDRB PROPINSI JAWA BARAT ATAS DASAR HARGA BERLAKU , MENURUT KABUPATEN/KOTA, 1998-2001 (JUTAAN RUPIAH)","GRDP the Province of West Java at Current Prices By Regencies/Municipalities, 1998-2001 (Million Rupiahs)",1,1,5d0c1ccfdb7a
JAWA BARAT,09,Cirebon,,1998,,"3.277.690,00",,"PDRB PROPINSI JAWA BARAT ATAS DASAR HARGA BERLAKU , MENURUT KABUPATEN/KOTA, 1998-2001 (JUTAAN RUPIAH)","GRDP the Province of West Java at Current Prices By Regencies/Municipalities, 1998-2001 (Million Rupiahs)",1,1,e79b15bdc3c5
