province_name,regency_code,region_name_raw,name_flag,year,year_flag,value,value_flag,table_header_raw,table_header_english,page_number,table_number,raw_text_hash
ACEH,01,Kab. Simeulue,,2014,,1 .517,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Aceh Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",1,1,fa1cfd7c2a5f
ACEH,02,Kab. Aceh Singkil,,2014,,1 .686,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Aceh Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",1,1,71221c6dbac8
ACEH,03,Kab. Aceh Selatan,,2014,,3 .930,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Aceh Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",1,1,d357c4ae7119
ACEH,04,Kab. Aceh Tenggara,,2014,,3 .314,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Aceh Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",1,1,c6a7e57f6c76
ACEH,05,Kab. Aceh Timur,,2014,,8 .695,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Aceh Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",1,1,87ddfa503c55
ACEH,06,Kab. Aceh Tengah,,2014,,5 .463,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Aceh Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",1,1,aeda72a0abbf
ACEH,07,Kab. Aceh Barat,,2014,,5 .469,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Aceh Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",1,1,b961a4dd25e6
ACEH,08,Kab. Aceh Besar,,2014,,9 .650,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Aceh Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",1,1,2519cec874a7
ACEH,09,Kab. Pidie,,2014,,7 .255,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Aceh Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",1,1,9072e2724b3e
ACEH,10,Kab. Bireun,,2014,,9 .392,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Aceh Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",1,1,9e60b1adb19a
ACEH,11,Kab. Aceh Utara,,2014,,1 9.941,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Aceh Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",1,1,8e170c74995f
ACEH,12,Kab. Aceh Barat Daya,,2014,,2 .780,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Aceh Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",1,1,bec7eab4155b
ACEH,13,Kab. Gayo Lues,,2014,,1 .934,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Aceh Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",1,1,56ad3b5255d1
ACEH,14,Kab. Aceh Tamiang,,2014,,5 .648,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Aceh Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",1,1,9cce0424b627
ACEH,15,Kab. Nagan Raya,,2014,,5 .457,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Aceh Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",1,1,fa563839ebef
ACEH,16,Kab. Aceh Jaya,,2014,,1 .839,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Aceh Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",1,1,d806afdc8210
ACEH,17,Kab. Bener Meriah,,2014,,3 .312,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Aceh Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",1,1,0717e997b731
ACEH,18,Kab. Pidie Jaya,,2014,,2 .389,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Aceh Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",1,1,361d2859fc33
ACEH,71,Kota Banda Aceh,,2014,,1 3.50s2,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Aceh Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",1,1,3d830abfa842
ACEH,72,Kota Sabang,,2014,,p 9 92,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Aceh Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",1,1,e1e12b38794b
ACEH,73,Kota Langsa,,2014,,b 3 .562,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Aceh Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",1,1,ebb6d39d6336
ACEH,74,Kota Lhokseumawe,,2014,,. 9 .321,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Aceh Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",1,1,7001c4eac654
ACEH,75,Kota Subulussalam,,2014,,w 1 .201,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Aceh Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",1,1,bc96dcbf5be5
ACEH,,Jml Kab./Kota Total of Reg./Mun.,,2014,,1 28.246,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Aceh Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",1,1,186b0dada40e
ACEH,,Provinsi/Province,,2014,,w 1 27.897,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Aceh Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",1,1,b624e90ee008
SUMATERA UTARA,01,Kab. Nias,,2014,,2 .443,,"PDRB Provinsi Sumatera Utara Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Sumatera Utara Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",2,2,fb528cf895f7
SUMATERA UTARA,02,Kab. Mandailing Natal,,2014,,8 .758,,"PDRB Provinsi Sumatera Utara Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Sumatera Utara Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",2,2,9d0aa8c9585f
SUMATERA UTARA,03,Kab. Tapanuli Selatan,,2014,,9 .310,,"PDRB Provinsi Sumatera Utara Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Sumatera Utara Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",2,2,cc92c11a594a
SUMATERA UTARA,04,Kab. Tapanuli Tengah,,2014,,6 .516,,"PDRB Provinsi Sumatera Utara Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Sumatera Utara Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",2,2,ee984df0c2ab
SUMATERA UTARA,05,Kab. Tapanuli Utara,,2014,,5 .429,,"PDRB Provinsi Sumatera Utara Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Sumatera Utara Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",2,2,5339262ca8c0
SUMATERA UTARA,06,Kab. Toba Samosir,,2014,,5 .173,,"PDRB Provinsi Sumatera Utara Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Sumatera Utara Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",2,2,075a6c1b7813
SUMATERA UTARA,07,Kab. Labuhan Batu,,2014,,2 2.176,,"PDRB Provinsi Sumatera Utara Atas Dasar Harga Berlaku Menurut Kabupaten/Kota (miliar rupiah), 2014-2018","GRDP of Sumatera Utara Province at Current Market Prices by Regency/Municipality (billion rupiahs), 2014-2018",2,2,18895cae1ec6
